AERO;DAESTS016-17SB;Aerodinâmica I A-diurno (São Bernardo do Campo);4-0-5;segunda das 14:00 às 16:00,  semanal ,  quarta das 16:00 às 18:00,  semanal;0;MARCELO TANAKA HAYASHI;CECS;MARCELO TANAKA HAYASHI;CECS
AERO;DAESTS012-17SB;Aeroelasticidade A-diurno (São Bernardo do Campo);4-0-5;terca das 16:00 às 18:00,  semanal ,  quinta das 14:00 às 16:00,  semanal;0;ADRIAN MARCEL ZALMANOVICI;CECS;ADRIAN MARCEL ZALMANOVICI;CECS
AERO;NAESTS002-17SB;Aeronáutica I-A A-noturno (São Bernardo do Campo);4-0-4;quarta das 19:00 às 21:00,  semanal ,  sexta das 19:00 às 21:00,  semanal;0;FERNANDO MADEIRA;CECS;FERNANDO MADEIRA;CECS
AERO;DAESZS002-17SB;Aeronáutica II A-diurno (São Bernardo do Campo);03/01/04;quarta das 08:00 às 10:00,  semanal ,  sexta das 10:00 às 11:00,  semanal;sexta das 10:00 às 12:00,  quinzenal I;FERNANDO MADEIRA;CECS;FERNANDO MADEIRA;CECS
ENGS;DA1MCTB001-17SA;Álgebra Linear A1-diurno (Santo André);6-0-5;"segunda das 08:00 às 10:00,  quarta das 10:00 às
12:00,  sexta das 08:00 às 10:00";;GISELE CRISTINA DUCATI;CMCC;0;0
ENGS;DAMCTB001-17SA;Álgebra Linear A-diurno (Santo André);6-0-5;segunda das 08:00 às 10:00,  semanal ,  quarta das 10:00 às 12:00,  semanal ,  sexta das 08:00 às 10:00,  semanal;0;JERONIMO CORDONI PELLEGRINI;CMCC;0;0
ENGS;NAMCTB001-17SA;Álgebra Linear A-noturno (Santo André);6-0-5;segunda das 19:00 às 21:00,  semanal ,  quarta das 21:00 às 23:00,  semanal ,  sexta das 19:00 às 21:00,  semanal;0;CELSO CHIKAHIRO NISHI;CMCC;0;0
ENGS;NAMCTB001-17SB;Álgebra Linear A-noturno (São Bernardo do Campo);6-0-5;segunda das 19:00 às 21:00,  semanal ,  quarta das 21:00 às 23:00,  semanal ,  sexta das 19:00 às 21:00,  semanal;0;CLAUDIO FERNANDO ANDRE;CMCC;0;0
BMAT;DAMCTB002-13SA;Álgebra Linear Avançada I A-diurno (Santo André);4-0-4;segunda das 08:00 às 10:00,  semanal ,  quarta das 10:00 às 12:00,  semanal;0;Claudia Correa de Andrade Oliveira;CMCC;0;0
BMAT;NAMCTB002-13SA;Álgebra Linear Avançada I A-noturno (Santo André);4-0-4;segunda das 19:00 às 21:00,  semanal ,  quarta das 21:00 às 23:00,  semanal;0;Claudia Correa de Andrade Oliveira;CMCC;0;0
ENGS;NBMCTB001-17SA;Álgebra Linear B-noturno (Santo André);6-0-5;segunda das 21:00 às 23:00,  semanal ,  quarta das 19:00 às 21:00,  semanal ,  sexta das 21:00 às 23:00,  semanal;0;ILIA GORSHKOV;CMCC;0;0
BPT;DAESZT001-17SB;Análise da Produção do Espaço e Políticas Públicas Urbanas A-diurno (São Bernardo do Campo);4-0-4;segunda das 14:00 às 16:00,  semanal ,  quarta das 14:00 às 16:00,  semanal;0;CAROLINA MARIA POZZI DE CASTRO;CCNH;LUCIANA NICOLAU FERRARA;CECS
BCC;DAMCTA003-17SA;Análise de Algoritmos A-diurno (Santo André);4-0-4;quarta das 08:00 às 10:00,  semanal ,  sexta das 10:00 às 12:00,  semanal;0;DANIEL MORGATO MARTIN;CMCC;DANIEL MORGATO MARTIN;CMCC
BCC;NAMCTA003-17SA;Análise de Algoritmos A-noturno (Santo André);4-0-4;quarta das 19:00 às 21:00,  semanal ,  sexta das 21:00 às 23:00,  semanal;0;GORDANA MANIC;CMCC;GORDANA MANIC;CMCC
